index,centrality,rND,rKL,rRD,equal_ex
0,PageRank,0.1653225286781715,0.0329124082274887,0.2817147761085937,1.1002744597731144
0,PageRank05,0.1611346979976788,0.03164664248039705,0.27515879281313205,1.0663222869892217
0,InDegreeStrength,0.1388614640641156,0.02310134242662811,0.24166895256749885,1.0701246861333835
0,Rank,0.14159120384949236,0.02803119257295751,0.242430105139937,0.9977057895630179
1,PageRank,0.14849968063573238,0.02572778871762976,0.24511165318602102,1.070754777502083
1,PageRank05,0.14517566149772718,0.025093362729312427,0.2397281168020554,1.0471501271355268
1,InDegreeStrength,0.13084675208379112,0.020248288917092905,0.2189906162770519,1.027560331120119
1,Rank,0.18920902778934628,0.045966953452673515,0.2990118671508852,0.9970178417582657
2,PageRank,0.13774624366424387,0.023759301320144102,0.22185209037111792,1.0582877378721647
2,PageRank05,0.13510273507981194,0.02340997467640889,0.21750235216125655,1.0399475046452884
2,InDegreeStrength,0.12014435149208853,0.0185282005505771,0.19629928286584317,1.017305812955398
2,Rank,0.217006070949494,0.059021883148667666,0.3265335015104154,0.9966771078287507
3,PageRank,0.13263456408905555,0.023674288289010803,0.2094223902403241,1.0520932842538693
3,PageRank05,0.13076357496662258,0.023614012914478264,0.20624554369897816,1.0365444600714604
3,InDegreeStrength,0.1173778505243248,0.018907795767950132,0.18787164911773954,1.0233997422922914
3,Rank,0.23734963216460958,0.06976390035662992,0.34528360400619074,0.9964683830935616
4,PageRank,0.13361344884231524,0.024610650616620846,0.20715176961093207,1.0496636806493342
4,PageRank05,0.1321056676721887,0.02457181140406514,0.20448944742249395,1.0353639952344302
4,InDegreeStrength,0.120591377592686,0.020455356419286856,0.1892676219122792,1.0314791926115607
4,Rank,0.2527421404508011,0.07633638757276828,0.3588422348341019,0.9963416895751234
5,PageRank,0.134476523954833,0.02514833975785203,0.20538456913136321,1.0483102694134718
5,PageRank05,0.1333341741944586,0.025121708749253124,0.20344698932547767,1.0347748128771304
5,InDegreeStrength,0.12014517975742611,0.020830603952618928,0.18564471235785063,1.0288025925500046
5,Rank,0.26422321245097374,0.08015810178187723,0.36835113979780554,0.9962726421181793
6,PageRank,0.13143012343572974,0.02481592078695328,0.20195397198762996,1.0470043603842725
6,PageRank05,0.13088873307934182,0.02488625499854548,0.2008840268878476,1.0341423144561643
6,InDegreeStrength,0.11511021406132725,0.020141792307194678,0.17909056576052237,1.0303158266311325
6,Rank,0.2698391681523364,0.08329916733524782,0.37648787732555933,0.9962184527236887
7,PageRank,0.12971837282523546,0.024829924368586245,0.20065248204044078,1.0463583541942771
7,PageRank05,0.12897220609025764,0.02472880306921285,0.19939043513077703,1.033732443168599
7,InDegreeStrength,0.11103184013832855,0.01968223508566222,0.17404381081520265,1.0303131206751468
7,Rank,0.2758150620830652,0.08683344635641531,0.3857530516416941,0.9961444841582707
8,PageRank,0.1259168048783815,0.024626638523478333,0.19536539537394948,1.0445773831351421
8,PageRank05,0.12540830036524908,0.024509746530768203,0.1945345321266178,1.032841877448117
8,InDegreeStrength,0.10627622205176834,0.019270289948680217,0.167124770407396,1.0349511805672964
8,Rank,0.27845217786309734,0.08857458570983537,0.3904314783282577,0.9961263657676669
9,PageRank,0.12412000628620504,0.024800411778144613,0.19291788935554102,1.043715723869449
9,PageRank05,0.1239055323934672,0.024697053414023316,0.19256436829594525,1.0325380087345577
9,InDegreeStrength,0.10446727762779348,0.019284026757005912,0.16467861850840035,1.0415393047923842
9,Rank,0.28188837793255983,0.09000502715957823,0.39637933826258553,0.9960754021605428
10,PageRank,0.12000268107443479,0.023457555138397423,0.18826622009320693,1.0419395581479967
10,PageRank05,0.120306262173478,0.02358713846605948,0.1886047155948048,1.03133488310096
10,InDegreeStrength,0.10156523189150171,0.018635035842612037,0.16116140899815137,1.0419469242349924
10,Rank,0.283961944291005,0.09079946049946394,0.40068203559173154,0.9960510543021214
11,PageRank,0.11663514472912152,0.023031072682625536,0.18357674340992267,1.0402755414715676
11,PageRank05,0.11675236354833446,0.02299089363219472,0.1837880909999166,1.0303098163843583
11,InDegreeStrength,0.09845812248968039,0.01800564799952556,0.15708027081161133,1.0432777653739904
