index,centrality,rND,women_prop
0,PageRank,0.17707574692542957,0.31522811528342504
0,InDegreeStrength,0.14824593127706373,0.31522811528342504
1,PageRank,0.14022615513559258,0.3601098565029413
1,InDegreeStrength,0.12169315327073345,0.3601098565029413
2,PageRank,0.12711174573243691,0.3930131223330375
2,InDegreeStrength,0.10879709447913076,0.3930131223330375
3,PageRank,0.12149492855111525,0.4158372923674446
3,InDegreeStrength,0.10572914621939296,0.4158372923674446
4,PageRank,0.12664452834359255,0.4332331873248578
4,InDegreeStrength,0.11259299464972793,0.4332331873248578
5,PageRank,0.1300430308190657,0.4473679579014062
5,InDegreeStrength,0.11525477298403682,0.4473679579014062
6,PageRank,0.13169526753006972,0.45935571106784506
6,InDegreeStrength,0.11511955459160289,0.45935571106784506
7,PageRank,0.1332684387513989,0.46894780100631145
7,InDegreeStrength,0.11337130668229302,0.46894780100631145
8,PageRank,0.13284189190157292,0.47673689312084844
8,InDegreeStrength,0.11204601548188589,0.47673689312084844
9,PageRank,0.1316747092794059,0.4821175401311081
9,InDegreeStrength,0.11109352989668998,0.4821175401311081
10,PageRank,0.1276226813607791,0.48792189955461274
10,InDegreeStrength,0.10857517248829268,0.48792189955461274
11,PageRank,0.1247465615036245,0.4927825086076744
11,InDegreeStrength,0.10490583558917747,0.4927825086076744
12,PageRank,0.11958505934710734,0.49606444486508894
12,InDegreeStrength,0.10081407589533312,0.49606444486508894
13,PageRank,0.12295843863906389,0.5007989795489269
13,InDegreeStrength,0.1066303676513985,0.5007989795489269
14,PageRank,0.12209273452175891,0.5048098009494613
14,InDegreeStrength,0.10405370477977077,0.5048098009494613
15,PageRank,0.11914227367575,0.5080413517702796
15,InDegreeStrength,0.10117065541121842,0.5080413517702796
16,PageRank,0.11973630827994299,0.5101363463639896
16,InDegreeStrength,0.10312904442004657,0.5101363463639896
17,PageRank,0.11755882452653811,0.512439476558544
17,InDegreeStrength,0.09959601533443212,0.512439476558544
18,PageRank,0.11525531330512864,0.514757492517732
18,InDegreeStrength,0.09951724801082334,0.514757492517732
19,PageRank,0.11369014055150978,0.5165788832826491
19,InDegreeStrength,0.09774440154163345,0.5165788832826491
20,PageRank,0.11267271163316336,0.5185599323985733
20,InDegreeStrength,0.09647545202130926,0.5185599323985733
21,PageRank,0.11060601477167399,0.5213771801689479
21,InDegreeStrength,0.09508851233806889,0.5213771801689479
22,PageRank,0.10202591030217027,0.5234899328859061
22,InDegreeStrength,0.09079732399808299,0.5234899328859061
23,PageRank,0.08615980831632976,0.5258880612262434
23,InDegreeStrength,0.08141954411577029,0.5258880612262434
24,PageRank,0.07709759620270548,0.5294246918478239
24,InDegreeStrength,0.07386148157098243,0.5294246918478239
25,PageRank,0.07319172781257438,0.5296379346893847
25,InDegreeStrength,0.07079215045887603,0.5296379346893847
26,PageRank,0.07080718785016915,0.5306696369708408
26,InDegreeStrength,0.06826466228609532,0.5306696369708408
27,PageRank,0.07362962994794299,0.5341566403191126
27,InDegreeStrength,0.0728476683859476,0.5341566403191126
