year(Date),FieldOfStudyId,Gender,Authorships
2010.0,33923547,0,38171
1990.0,144133560,1,10232
2013.0,39432304,1,64277
1975.0,127413603,1,29844
1999.0,71924100,1,211235
2015.0,121332964,1,147926
2000.0,17744445,1,32694
1861.0,95457728,1,265
2002.0,205649164,1,28687
1997.0,33923547,0,11163
1962.0,15744967,0,1577
1944.0,39432304,1,548
1968.0,33923547,0,654
1974.0,41008148,0,1882
1925.0,185592680,1,3163
1958.0,138885662,1,3788
1973.0,205649164,0,1566
1943.0,205649164,1,1287
1942.0,192562407,1,2707
1922.0,39432304,1,1039
1909.0,33923547,1,311
1832.0,71924100,1,201
1951.0,39432304,0,167
1910.0,192562407,1,810
1989.0,17744445,0,7509
1999.0,41008148,0,29186
2004.0,138885662,0,6670
2008.0,144024400,1,36430
1995.0,162324750,1,16965
2004.0,142362112,0,12978
2007.0,144024400,0,24824
1928.0,15744967,1,1097
1940.0,142362112,1,2994
1938.0,95457728,1,2049
1979.0,144024400,1,9343
1996.0,95457728,0,4426
1954.0,17744445,1,3536
1943.0,86803240,1,2514
1906.0,33923547,1,323
1872.0,71924100,1,539
1891.0,86803240,1,393
1892.0,71924100,0,35
1898.0,144024400,1,173
,17744445,1,96
2010.0,17744445,1,62094
2014.0,185592680,1,268720
1999.0,138885662,1,13961
2001.0,127413603,0,23966
2003.0,162324750,1,31040
1995.0,144024400,1,15503
1990.0,41008148,0,10954
1972.0,95457728,1,7683
1967.0,71924100,0,5431
1950.0,138885662,1,2872
1952.0,15744967,1,2868
1963.0,142362112,0,1624
1934.0,142362112,1,3144
1944.0,15744967,1,1277
1962.0,162324750,0,201
1927.0,121332964,1,1012
1962.0,121332964,0,562
1889.0,127313418,1,208
1966.0,144133560,0,247
1954.0,205649164,0,467
1956.0,144133560,0,175
1880.0,138885662,1,289
1867.0,127413603,1,97
2008.0,41008148,0,92283
2001.0,33923547,1,61638
1968.0,185592680,1,39641
2010.0,144024400,1,38503
2013.0,39432304,0,35553
2008.0,95457728,1,16558
1990.0,142362112,1,17163
1923.0,142362112,1,2593
1972.0,121332964,1,11810
1945.0,192562407,1,3585
1825.0,127413603,1,28
1969.0,138885662,0,1006
1935.0,15744967,1,1308
1998.0,95457728,1,10785
1966.0,144024400,0,701
1927.0,15744967,1,987
1840.0,41008148,1,30
1883.0,33923547,1,109
1919.0,127413603,1,965
1826.0,192562407,1,12
1922.0,162324750,0,19
1933.0,144024400,0,172
1905.0,192562407,1,643
1900.0,121332964,0,18
2020.0,144024400,0,31124
1800.0,17744445,1,26
1901.0,86803240,1,555
1992.0,185592680,0,55815
1989.0,144024400,1,12434
2009.0,33923547,1,111681
2013.0,142362112,0,20507
2013.0,121332964,0,51253
1995.0,17744445,1,24693
1966.0,185592680,0,6465
1920.0,127313418,1,851
1991.0,17744445,0,7857
1971.0,127413603,0,1361
1982.0,127313418,1,12675
1932.0,138885662,1,1866
2017.0,15744967,1,133772
1938.0,205649164,1,1563
1983.0,142362112,0,6292
1980.0,121332964,0,2224
1899.0,142362112,1,1480
1847.0,95457728,0,11
