Year,FieldOfStudyId,Gender,Authorships,DistinctPapers,Gender 
1963.0,121332964,-2,34191,34191,N/A $\notin$ constraint
1988.0,121332964,-2,139937,139937,N/A $\notin$ constraint
2001.0,138885662,-2,55839,55839,N/A $\notin$ constraint
2010.0,33923547,0,48007,48007,Female
2009.0,33923547,-1,89592,89592,N/A $\in$ constraint
2002.0,205649164,1,49395,49395,Male
2012.0,121332964,-2,485347,485347,N/A $\notin$ constraint
1984.0,162324750,1,14327,14327,Male
2001.0,205649164,-2,99788,99788,N/A $\notin$ constraint
1964.0,41008148,-2,15155,15155,N/A $\notin$ constraint
1974.0,41008148,0,2035,2035,Female
1990.0,144133560,1,14278,14278,Male
1973.0,205649164,0,1706,1706,Female
1967.0,127313418,-2,14969,14969,N/A $\notin$ constraint
1882.0,127413603,-2,675,675,N/A $\notin$ constraint
1992.0,121332964,-1,142713,142713,N/A $\in$ constraint
2005.0,144133560,0,20561,20561,Female
2019.0,162324750,1,49331,49331,Male
1962.0,15744967,0,1760,1760,Female
1990.0,95457728,-1,2849,2849,N/A $\in$ constraint
2016.0,205649164,1,130439,130439,Male
1909.0,142362112,-2,6041,6041,N/A $\notin$ constraint
2020.0,71924100,-2,1711911,1711911,N/A $\notin$ constraint
1892.0,39432304,-2,393,393,N/A $\notin$ constraint
1972.0,33923547,0,1253,1253,Female
1942.0,192562407,1,3258,3258,Male
1952.0,71924100,0,3286,3286,Female
1997.0,144133560,-1,7322,7322,N/A $\in$ constraint
1918.0,17744445,-2,1343,1343,N/A $\notin$ constraint
1925.0,185592680,1,4274,4274,Male
1951.0,33923547,-1,289,289,N/A $\in$ constraint
1917.0,185592680,-1,313,313,N/A $\in$ constraint
1861.0,95457728,1,293,293,Male
1910.0,192562407,1,1022,1022,Male
2020.0,95457728,-1,13920,13920,N/A $\in$ constraint
1840.0,41008148,-2,86,86,N/A $\notin$ constraint
1944.0,39432304,1,637,637,Male
1989.0,17744445,0,8412,8412,Female
1993.0,127313418,-1,19803,19803,N/A $\in$ constraint
2015.0,138885662,-2,233126,233126,N/A $\notin$ constraint
1961.0,71924100,1,29398,29398,Male
1984.0,162324750,-2,7389,7389,N/A $\notin$ constraint
1982.0,185592680,-1,123343,123343,N/A $\in$ constraint
1985.0,15744967,-2,23886,23886,N/A $\notin$ constraint
2010.0,127313418,-2,266529,266529,N/A $\notin$ constraint
1982.0,142362112,-2,32411,32411,N/A $\notin$ constraint
2004.0,138885662,0,8245,8245,Female
2011.0,138885662,1,33774,33774,Male
1980.0,127413603,0,4290,4290,Female
1931.0,192562407,1,5265,5265,Male
1949.0,192562407,-2,12733,12733,N/A $\notin$ constraint
1962.0,205649164,1,4317,4317,Male
1940.0,142362112,1,3640,3640,Male
1996.0,95457728,0,4908,4908,Female
