year(Date),FieldOfStudyId,AllAuthorships,WosAuthorships
2019.0,41008148,6073924,1002035
2009.0,162324750,202970,94099
2020.0,142362112,317896,26799
1986.0,144133560,33036,14134
2021.0,144133560,43283,12424
1991.0,95457728,42435,16605
1954.0,121332964,18330,4353
1924.0,39432304,3857,1325
1958.0,41008148,17245,7481
1872.0,86803240,604,221
1909.0,142362112,9432,2891
1805.0,95457728,175,107
1827.0,142362112,749,285
1904.0,39432304,2567,324
1890.0,205649164,1716,594
1853.0,144133560,74,24
1810.0,205649164,116,43
1878.0,205649164,1056,366
2002.0,71924100,1763280,883545
1996.0,127413603,458952,171378
1989.0,162324750,34085,21899
1978.0,144133560,19921,8791
1987.0,142362112,85147,33958
1970.0,127413603,80689,23607
1937.0,71924100,22717,10450
1926.0,142362112,11138,4024
1925.0,162324750,1017,436
1946.0,138885662,4124,1900
1916.0,144133560,1334,388
1888.0,41008148,718,196
1898.0,127313418,4658,294
1848.0,121332964,170,38
,127313418,166,34
1983.0,121332964,201848,37679
1961.0,33923547,12226,4410
1900.0,15744967,804,326
1971.0,39432304,22047,5635
1851.0,71924100,819,347
1926.0,17744445,3764,1743
1889.0,95457728,1484,602
1950.0,33923547,5259,1917
1863.0,17744445,294,86
1907.0,144133560,961,234
1863.0,127413603,443,138
1804.0,17744445,59,10
1997.0,71924100,1359473,592948
2011.0,127413603,1740703,471699
2006.0,142362112,311252,63462
2012.0,127413603,1843193,499304
1987.0,33923547,92736,39392
1917.0,185592680,4097,1557
1963.0,17744445,15175,8015
1943.0,95457728,6665,3102
1977.0,15744967,61322,39616
1928.0,41008148,7361,3068
1800.0,142362112,1777,767
1983.0,127313418,90610,21910
1921.0,39432304,3383,1096
1846.0,71924100,718,322
1880.0,71924100,1940,746
1902.0,39432304,2782,332
1945.0,144024400,2271,1180
1900.0,185592680,4029,1130
1950.0,162324750,2328,1136
1896.0,192562407,2828,172
1815.0,86803240,87,36
1895.0,39432304,1805,113
1875.0,205649164,968,349
1996.0,15744967,169186,100451
1936.0,71924100,22459,10254
1859.0,138885662,628,191
1906.0,17744445,1661,563
1894.0,142362112,4775,1524
1922.0,95457728,3232,1273
1937.0,205649164,5849,2082
1917.0,39432304,3033,619
1890.0,192562407,631,83
1881.0,127413603,955,196
1874.0,192562407,331,53
1871.0,127413603,531,108
2019.0,15744967,1260583,418152
2012.0,15744967,866977,399411
2006.0,127413603,1145697,374246
1984.0,15744967,85814,54395
1989.0,121332964,287387,65981
2002.0,127413603,803840,278919
1988.0,192562407,687178,169145
1984.0,127313418,92310,23967
1969.0,17744445,28233,15760
1984.0,39432304,77241,15816
1912.0,185592680,6334,2296
1991.0,127313418,134207,35561
1970.0,144133560,14715,4844
1954.0,138885662,9042,4083
1970.0,39432304,32324,5768
1924.0,127413603,5886,2042
1932.0,142362112,12767,4520
1902.0,138885662,2391,797
1919.0,33923547,1471,430
1869.0,39432304,151,27
1816.0,205649164,96,54
1999.0,41008148,697830,254510
2016.0,127413603,1574014,438373
1971.0,142362112,34036,16164
1967.0,95457728,17641,9177
1975.0,33923547,41271,18068
1942.0,121332964,3657,956
1959.0,41008148,18568,7636
1914.0,138885662,3231,1204
1838.0,39432304,42,11
1879.0,95457728,1104,390
1878.0,127313418,605,126
1915.0,144024400,826,349
1877.0,33923547,285,75
1817.0,15744967,27,11
2019.0,138885662,300116,31578
1964.0,121332964,53579,10082
1989.0,17744445,67161,34119
1933.0,205649164,4569,1630
1945.0,33923547,2112,810
1855.0,142362112,2675,796
1958.0,138885662,10807,4799
1902.0,205649164,2302,750
1927.0,15744967,3104,1558
1853.0,127313418,172,57
1888.0,33923547,462,132
1897.0,41008148,3685,338
1830.0,162324750,23,9
1890.0,15744967,601,240
1882.0,17744445,527,150
1880.0,121332964,584,146
,205649164,825,139
2011.0,185592680,2156392,891080
1984.0,86803240,333929,138912
1994.0,41008148,444669,155808
1980.0,41008148,134201,34079
1983.0,127413603,170883,63788
1964.0,41008148,28198,11147
1963.0,95457728,14532,7255
1956.0,142362112,18493,8322
1947.0,95457728,6535,3037
1943.0,71924100,20902,10246
1947.0,144024400,2836,1506
1896.0,162324750,285,117
1865.0,192562407,111,25
1911.0,95457728,3137,1271
1924.0,144133560,1727,666
1861.0,71924100,1325,559
1901.0,121332964,2618,433
1874.0,205649164,957,355
1902.0,127313418,5516,512
1869.0,121332964,275,76
2011.0,192562407,3235451,769456
2014.0,71924100,5490384,2808168
2011.0,142362112,514527,76430
1997.0,15744967,180495,106111
1973.0,127413603,92267,28738
1974.0,127313418,35103,10700
1940.0,127413603,18883,8970
1937.0,95457728,6414,2810
1935.0,41008148,5109,1888
1893.0,86803240,1379,495
1924.0,162324750,892,362
1844.0,95457728,433,262
1918.0,86803240,3829,1349
1892.0,17744445,874,308
1811.0,205649164,99,46
1860.0,138885662,572,167
2004.0,41008148,1249962,465796
2019.0,121332964,3030755,478966
1982.0,39432304,77768,14329
1962.0,95457728,13044,6346
1905.0,138885662,2572,877
1949.0,15744967,7264,3520
1848.0,205649164,377,149
1928.0,39432304,4097,1518
1884.0,185592680,1560,485
1938.0,15744967,4608,2436
1813.0,127313418,8,4
1926.0,33923547,2093,728
1891.0,33923547,444,147
1848.0,33923547,92,23
1830.0,205649164,228,89
1889.0,15744967,423,160
1858.0,15744967,111,50
2014.0,138885662,286639,47643
2002.0,142362112,221305,53274
1974.0,15744967,51682,33363
1982.0,162324750,23049,14710
1940.0,15744967,4859,2661
1925.0,138885662,4648,1883
1917.0,144133560,1200,366
1880.0,41008148,539,153
1890.0,71924100,3115,1228
1941.0,33923547,2545,1012
1858.0,138885662,624,178
1906.0,162324750,385,120
1875.0,33923547,287,66
2007.0,192562407,2135886,602813
2017.0,71924100,6342276,3183620
1999.0,17744445,140760,53946
2004.0,33923547,327293,152127
2006.0,33923547,407794,187324
1979.0,162324750,19902,12442
1967.0,41008148,36761,15057
1901.0,71924100,5680,2280
1944.0,205649164,4101,1687
1960.0,17744445,13449,6771
1930.0,86803240,12318,3290
1907.0,17744445,1867,683
1913.0,39432304,3487,522
1858.0,71924100,1165,481
1908.0,127313418,7108,693
1941.0,39432304,2757,749
1815.0,95457728,196,130
1859.0,121332964,261,51
1911.0,41008148,6941,1008
1863.0,86803240,389,162
1868.0,185592680,544,114
2015.0,33923547,744906,291019
2008.0,39432304,412629,129615
1991.0,142362112,101369,31331
1976.0,95457728,25352,13423
1912.0,33923547,2062,366
1900.0,205649164,2753,891
1939.0,162324750,2122,993
1925.0,33923547,1788,636
1807.0,142362112,478,206
1870.0,144133560,120,33
1921.0,127313418,2989,1058
1876.0,205649164,952,332
2013.0,144133560,488967,134171
1983.0,185592680,602038,230619
2002.0,41008148,1011254,362211
1970.0,71924100,289992,58013
2007.0,144133560,259499,89779
1964.0,192562407,104742,29224
2004.0,162324750,121913,64002
1969.0,41008148,38002,13918
1995.0,144024400,55749,29528
2006.0,127313418,317747,102882
1933.0,185592680,19762,7515
1986.0,205649164,64120,22919
1960.0,144133560,6432,2555
1957.0,39432304,10051,3220
1947.0,121332964,5697,1642
1935.0,138885662,5538,2188
1921.0,71924100,10213,4409
1905.0,185592680,4979,1645
1899.0,185592680,3511,989
1850.0,142362112,2502,837
1960.0,33923547,11794,4043
1896.0,41008148,3273,307
1927.0,144133560,1975,716
1842.0,95457728,396,168
1877.0,17744445,493,107
1847.0,86803240,137,63
1868.0,127313418,385,124
1881.0,144133560,131,22
1808.0,17744445,54,22
2017.0,185592680,2592982,988425
2016.0,71924100,6093825,3122205
