year(Date),FieldOfStudyId,Gender,Authorships
2010.0,33923547,0,46891
1990.0,144133560,1,14104
2013.0,39432304,1,146654
1975.0,127413603,1,44419
1999.0,71924100,1,495187
2015.0,121332964,1,368524
2000.0,17744445,1,43391
1861.0,95457728,1,293
2002.0,205649164,1,49117
1997.0,33923547,0,12804
1962.0,15744967,0,1752
1944.0,39432304,1,637
1968.0,33923547,0,680
1974.0,41008148,0,2033
1925.0,185592680,1,4270
1958.0,138885662,1,4356
1973.0,205649164,0,1700
1943.0,205649164,1,1496
1942.0,192562407,1,3254
1922.0,39432304,1,1255
1909.0,33923547,1,346
1832.0,71924100,1,215
1951.0,39432304,0,170
1910.0,192562407,1,1022
1989.0,17744445,0,8404
1999.0,41008148,0,34450
2004.0,138885662,0,8219
2008.0,144024400,1,45679
1995.0,162324750,1,24262
2004.0,142362112,0,15703
2007.0,144024400,0,31741
1928.0,15744967,1,1279
1940.0,142362112,1,3640
1938.0,95457728,1,2359
1979.0,144024400,1,11107
1996.0,95457728,0,4894
1954.0,17744445,1,3978
1943.0,86803240,1,3106
1906.0,33923547,1,346
1872.0,71924100,1,546
1891.0,86803240,1,419
1892.0,71924100,0,36
1898.0,144024400,1,190
,17744445,1,116
2010.0,17744445,1,85732
2014.0,185592680,1,633858
1999.0,138885662,1,17875
2001.0,127413603,0,27922
2003.0,162324750,1,47547
1995.0,144024400,1,18508
1990.0,41008148,0,12375
1972.0,95457728,1,9048
1967.0,71924100,0,6227
1950.0,138885662,1,3143
1952.0,15744967,1,3568
1963.0,142362112,0,1784
1934.0,142362112,1,3702
1944.0,15744967,1,1457
1962.0,162324750,0,208
1927.0,121332964,1,1114
1962.0,121332964,0,579
1889.0,127313418,1,227
1966.0,144133560,0,267
1954.0,205649164,0,507
1956.0,144133560,0,192
1880.0,138885662,1,326
1867.0,127413603,1,113
2008.0,41008148,0,116587
2001.0,33923547,1,97881
1968.0,185592680,1,64555
2010.0,144024400,1,48875
2013.0,39432304,0,56957
2008.0,95457728,1,19784
1990.0,142362112,1,22532
1923.0,142362112,1,2958
1972.0,121332964,1,15903
1945.0,192562407,1,4316
1825.0,127413603,1,31
1969.0,138885662,0,1059
1935.0,15744967,1,1474
1998.0,95457728,1,12762
1966.0,144024400,0,776
1927.0,15744967,1,1163
1840.0,41008148,1,30
