CitingField,CitedField,NumCitingPapers,NumCitedPapers,CitationRate
17744445,17744445,7511486,7511486,0.29835386132737707
95457728,17744445,589814,589814,0.09378918225184421
205649164,192562407,121678,121678,0.005055010913859877
144133560,192562407,91227,91227,0.0029632994837589088
144024400,86803240,205067,205067,0.007783408636297784
144133560,33923547,485321,485321,0.015764537568454046
39432304,144133560,396626,396626,0.010070741687910705
121332964,71924100,799984,799984,0.010136503547676142
162324750,185592680,25993,25993,0.0008840374360077872
121332964,127413603,2937168,2937168,0.037216511645383955
71924100,17744445,790343,790343,0.0025488837896069766
144133560,41008148,2529891,2529891,0.0821776962332019
138885662,144133560,61719,61719,0.009201318022203385
86803240,205649164,3953336,3953336,0.013657127722120797
185592680,17744445,50102,50102,0.0002300137633639778
205649164,33923547,736029,736029,0.030577710250968716
15744967,127413603,856377,856377,0.008169196190175296
144133560,205649164,734869,734869,0.023870530964850596
15744967,127313418,30285,30285,0.0002888962531915953
121332964,17744445,30026,30026,0.00038045592852172525
33923547,17744445,64923,64923,0.0010474787494823955
17744445,39432304,128987,128987,0.005123323069634209
39432304,142362112,30173,30173,0.0007661234738754638
192562407,71924100,3057503,3057503,0.017241689171395794
41008148,144024400,1073242,1073242,0.006889530313096934
185592680,39432304,3189118,3189118,0.014640953115480462
86803240,162324750,127650,127650,0.00044097753232427494
41008148,185592680,1859885,1859885,0.0119392775221006
142362112,162324750,83533,83533,0.012864144391100297
127413603,17744445,494889,494889,0.005958411506363734
185592680,142362112,78062,78062,0.0003583756016869353
192562407,41008148,3763693,3763693,0.021223993841562268
185592680,144133560,181664,181664,0.000834003039953568
17744445,138885662,355434,355434,0.014117726685110635
127413603,142362112,247863,247863,0.002984244449163013
39432304,41008148,1203622,1203622,0.030561199346201353
39432304,162324750,364124,364124,0.009245482510901447
127413603,138885662,62196,62196,0.0007488332980724947
39432304,144024400,50529,50529,0.00128298323041969
185592680,205649164,175903,175903,0.0008075548085308727
205649164,144024400,951489,951489,0.03952881605070449
71924100,41008148,2623570,2623570,0.008461104917610677
121332964,33923547,4843142,4843142,0.06136688491882253
192562407,17744445,19846,19846,0.00011191438350036646
162324750,192562407,11185,11185,0.00038040852236167816
162324750,17744445,1914746,1914746,0.06512165369315456
121332964,15744967,345139,345139,0.00437321583674348
144024400,33923547,205793,205793,0.007810964287231148
205649164,144133560,789598,789598,0.03280318962805052
144024400,121332964,45408,45408,0.001723480712923141
17744445,205649164,777310,777310,0.03087450871217539
205649164,41008148,1542835,1542835,0.06409579187104492
15744967,41008148,4569519,4569519,0.04358979422115917
142362112,95457728,652327,652327,0.10045884522539934
185592680,127313418,930194,930194,0.004270436760979441
121332964,144133560,34589,34589,0.0004382731669765521
144133560,144133560,9915696,9915696,0.32208860137799417
121332964,142362112,45532,45532,0.0005769306380287481
144024400,142362112,785575,785575,0.029816846393908487
15744967,39432304,42057,42057,0.0004011923302122808
142362112,33923547,86153,86153,0.013267626347987787
162324750,41008148,865108,865108,0.029422839156304573
127313418,162324750,11078,11078,0.00030109246718722666
144133560,17744445,1455630,1455630,0.04728279596549246
71924100,86803240,41516910,41516910,0.1338934853520203
95457728,71924100,163213,163213,0.025953290025110036
33923547,192562407,1290284,1290284,0.020817662011877815
86803240,95457728,177478,177478,0.0006131124988785559
95457728,127313418,79832,79832,0.012694473168709504
192562407,39432304,1812969,1812969,0.010223587017045042
39432304,15744967,70089,70089,0.0017796317290444232
127313418,144133560,22655,22655,0.0006157474132629194
86803240,144133560,289191,289191,0.0009990343403869127
15744967,205649164,394357,394357,0.0037618708839319117
205649164,162324750,1060349,1060349,0.04405131385706871
144024400,17744445,4023727,4023727,0.15272233700158763
15744967,144133560,1375011,1375011,0.013116576721057574
33923547,144133560,111465,111465,0.0017983953115391345
162324750,33923547,1619736,1619736,0.055088187606259734
17744445,33923547,191639,191639,0.007611840803659517
127313418,17744445,16966,16966,0.0004611242822078433
185592680,162324750,29277,29277,0.000134408066544393
162324750,95457728,167256,167256,0.005688476335818046
127413603,41008148,14555076,14555076,0.17524158410148263
162324750,142362112,47737,47737,0.0016235638472936458
95457728,41008148,144517,144517,0.02298034846831335
121332964,138885662,89843,89843,0.0011383901280948964
144024400,144133560,976988,976988,0.03708201142436033
95457728,95457728,1966255,1966255,0.3126637355990193
33923547,127413603,2130879,2130879,0.034379965038866006
144024400,162324750,1337138,1337138,0.050751663881180034
95457728,33923547,57422,57422,0.009130950474667266
127313418,95457728,87176,87176,0.0023693840873364935
144024400,95457728,1118734,1118734,0.042462043514168366
121332964,41008148,2484518,2484518,0.03148103652231199
142362112,144024400,603796,603796,0.09298503497741964
127313418,138885662,16056,16056,0.00043639110427496947
17744445,144024400,4886218,4886218,0.19407904209464463
192562407,205649164,95283,95283,0.0005373142297221313
41008148,15744967,5596172,5596172,0.035923861190024525
15744967,95457728,389005,389005,0.003710816806101916
205649164,121332964,211485,211485,0.00878596774369776
162324750,144024400,1177482,1177482,0.04004686524161587
162324750,138885662,70656,70656,0.0024030527095204946
185592680,15744967,937014,937014,0.004301746765892265
121332964,144024400,38724,38724,0.000490667267570615
39432304,185592680,5046599,5046599,0.12813833417745804
185592680,185592680,129999273,129999273,0.596814937872962
121332964,205649164,141423,141423,0.001791954265614066
144133560,121332964,25660,25660,0.0008335061413096298
144133560,86803240,506628,506628,0.016456646506602304
142362112,86803240,288394,288394,0.0444128914025233
138885662,33923547,237080,237080,0.03534484480798423
185592680,41008148,1564777,1564777,0.0071837500817411495
15744967,142362112,414356,414356,0.003952646388887458
15744967,192562407,82877,82877,0.0007905846054403118
162324750,205649164,578620,578620,0.019679211373170694
142362112,17744445,284542,284542,0.04381968052545055
192562407,127313418,1925576,1925576,0.010858593717782004
185592680,144024400,17334,17334,7.957883066846015e-05
127313418,185592680,1415118,1415118,0.03846193987913467
15744967,185592680,1370841,1370841,0.013076798039340257
138885662,95457728,334381,334381,0.04985087123223626
41008148,162324750,1239656,1239656,0.007957802238276636
39432304,205649164,2104767,2104767,0.05344219685607789
71924100,162324750,463111,463111,0.0014935491561115573
127413603,192562407,10994503,10994503,0.1323726596912653
