Year,CitingField,NumOutgoingCitations,CitedField,NumIncomingCitations
1997.0,127413603,1069733,127413603,2411578
2003.0,39432304,550886,39432304,1102582
1962.0,71924100,170119,71924100,515878
1991.0,95457728,45695,95457728,135079
2019.0,41008148,14343504,41008148,2062721
1948.0,185592680,39449,185592680,231511
1958.0,95457728,2233,95457728,27546
2021.0,144133560,358057,144133560,2585
1970.0,127413603,98355,127413603,346638
1989.0,162324750,139065,162324750,553825
1987.0,142362112,27514,142362112,89936
1937.0,71924100,35160,71924100,111642
1961.0,205649164,6601,205649164,50753
1954.0,17744445,1358,17744445,22975
1983.0,121332964,331614,121332964,941720
1974.0,17744445,18835,17744445,106831
1975.0,39432304,30165,39432304,139022
1971.0,39432304,20931,39432304,98125
1970.0,205649164,14714,205649164,77518
1961.0,33923547,18523,33923547,192488
1920.0,86803240,2937,86803240,25447
1997.0,71924100,3004095,71924100,6896391
1987.0,33923547,302734,33923547,1291060
1977.0,15744967,209505,15744967,857653
2006.0,142362112,194367,142362112,162054
1977.0,121332964,236721,121332964,732012
1962.0,15744967,34879,15744967,222626
1943.0,95457728,777,95457728,8080
1917.0,185592680,2387,185592680,17223
1904.0,121332964,307,121332964,8861
1938.0,17744445,393,17744445,9603
1991.0,86803240,2381823,86803240,5884318
2009.0,95457728,288465,95457728,154100
1928.0,71924100,19623,71924100,68458
1937.0,205649164,1407,205649164,15804
1996.0,71924100,2707890,71924100,6350390
2002.0,127413603,2045586,127413603,3301385
1991.0,127313418,298848,127313418,655541
1984.0,39432304,78670,39432304,260325
1984.0,15744967,416732,15744967,1198305
2019.0,15744967,5719346,15744967,471832
1902.0,138885662,916,138885662,3382
1954.0,138885662,7493,138885662,18597
1976.0,33923547,133452,33923547,645239
1975.0,33923547,123241,33923547,629311
1978.0,138885662,17220,138885662,52832
1959.0,17744445,2831,17744445,34094
1914.0,138885662,1655,138885662,4589
1942.0,121332964,3425,121332964,23494
1965.0,185592680,317295,185592680,1155484
1975.0,86803240,603609,86803240,1642085
2015.0,192562407,11283458,192562407,5559154
1908.0,192562407,191,192562407,20054
2011.0,185592680,8792135,185592680,6320577
1983.0,127413603,237426,127413603,687521
1972.0,127313418,54127,127313418,250333
1984.0,86803240,1366747,86803240,3227484
1956.0,142362112,5739,142362112,19287
1964.0,41008148,35196,41008148,160066
1949.0,39432304,8242,39432304,26469
1955.0,15744967,18749,15744967,112052
1963.0,95457728,11018,95457728,45633
1973.0,127413603,126966,127413603,423958
1941.0,185592680,21130,185592680,121544
1918.0,86803240,2433,86803240,16938
1876.0,185592680,231,185592680,2824
1968.0,71924100,261709,71924100,836944
1982.0,39432304,64008,39432304,253460
1957.0,127413603,14217,127413603,38000
1928.0,127313418,494,127313418,12803
1929.0,121332964,2745,121332964,37203
1938.0,15744967,6466,15744967,43316
1884.0,185592680,373,185592680,5765
1905.0,138885662,589,138885662,10801
2019.0,121332964,5516608,121332964,702056
1994.0,138885662,46705,138885662,108256
2003.0,17744445,490881,17744445,772059
1973.0,192562407,223669,192562407,726406
2014.0,138885662,411644,138885662,74193
2010.0,192562407,5795958,192562407,5853381
1976.0,39432304,33020,39432304,145878
1982.0,162324750,63841,162324750,378672
1869.0,185592680,18,185592680,2449
1950.0,144133560,1150,144133560,5953
1953.0,39432304,10289,39432304,32586
1955.0,205649164,4261,205649164,34087
1962.0,144024400,2539,144024400,143279
1937.0,33923547,1594,33923547,42610
1943.0,142362112,1947,142362112,7884
1997.0,127313418,381504,127313418,832704
2002.0,127313418,648158,127313418,1012917
1991.0,142362112,36508,142362112,109592
1993.0,121332964,524745,121332964,1392987
2015.0,33923547,3745143,33923547,1411475
1976.0,95457728,14784,95457728,80225
1992.0,144133560,67521,144133560,359074
1982.0,121332964,305581,121332964,925740
1987.0,192562407,648488,192562407,1616091
2006.0,127313418,932483,127313418,1054477
1995.0,144024400,191897,144024400,678042
1960.0,144133560,1266,144133560,15197
1924.0,185592680,7911,185592680,42249
1921.0,71924100,7489,71924100,37543
1937.0,39432304,644,39432304,7492
1923.0,15744967,720,15744967,16065
1951.0,17744445,1040,17744445,19387
2010.0,138885662,331250,138885662,131552
2016.0,71924100,17485884,71924100,6270661
2018.0,142362112,220125,142362112,26720
1921.0,142362112,756,142362112,4939
1939.0,127313418,1590,127313418,15152
2008.0,127413603,3907351,127413603,3327201
2009.0,138885662,303467,138885662,134723
1979.0,15744967,310079,15744967,941732
1929.0,138885662,7950,138885662,13956
2015.0,39432304,2436567,39432304,1148751
1966.0,95457728,12540,95457728,48920
1924.0,39432304,90,39432304,8647
1925.0,162324750,27,162324750,2228
1917.0,127413603,75,127413603,3772
1920.0,95457728,311,95457728,6005
1924.0,127413603,138,127413603,13151
,138885662,260,138885662,129
1927.0,41008148,113,41008148,20028
1947.0,144024400,663,144024400,14166
1931.0,17744445,335,17744445,6691
1926.0,33923547,347,33923547,17631
1911.0,41008148,26,41008148,8661
1921.0,127313418,240,127313418,6858
1933.0,144024400,121,144024400,6010
1910.0,192562407,294,192562407,13694
1945.0,144024400,312,144024400,12205
1941.0,39432304,775,39432304,12396
1941.0,144133560,126,144133560,2282
1924.0,95457728,104,95457728,6825
1929.0,41008148,84,41008148,20350
1921.0,39432304,52,39432304,5914
1922.0,95457728,105,95457728,4393
1919.0,33923547,82,33923547,6896
1920.0,39432304,63,39432304,5910
1861.0,71924100,13,71924100,1457
1887.0,162324750,3,162324750,299
1911.0,95457728,70,95457728,5459
1847.0,192562407,2,192562407,147
1916.0,144024400,32,144024400,11409
1900.0,142362112,95,142362112,2671
1863.0,127413603,2,127413603,61
1855.0,142362112,3,142362112,512
1859.0,121332964,2,121332964,1054
1873.0,33923547,12,33923547,1388
1868.0,127313418,7,127313418,531
1900.0,15744967,16,15744967,5660
1874.0,205649164,3,205649164,2062
1882.0,17744445,2,17744445,222
1854.0,192562407,1,192562407,696
1887.0,138885662,61,138885662,2162
1915.0,144024400,61,144024400,1987
1858.0,138885662,5,138885662,283
1897.0,41008148,1,41008148,1346
1869.0,205649164,4,205649164,1913
1848.0,121332964,2,121332964,180
1803.0,192562407,1,192562407,447
1845.0,192562407,2,192562407,148
1869.0,121332964,4,121332964,291
1871.0,15744967,2,15744967,469
1833.0,192562407,1,192562407,106
1907.0,144133560,1,144133560,600
