slice_index,start_index,end_index,PaperId_lower,PaperReferenceId_lower,pubDate_lower,rownum_lower,PaperId_upper,PaperReferenceId_upper,pubDate_upper,rownum_upper
0,1,6920458,2003546945,2301275560,1806-07-01,1,2056300225,1996310766,1976-11-17,6920458
1,3460229,10380686,1999741804,1968387104,1970-01-01,3460229,2056437104,1989618225,1981-07-01,10380686
2,6920457,13840914,1984980338,2064879130,1976-11-17,6920457,2093599879,2068595143,1985-03-01,13840914
3,10380685,17301142,2056437104,2080258789,1981-07-01,10380685,2896937490,2896098349,1988-08-01,17301142
4,13840913,20761370,1973023907,1973788516,1985-03-01,13840913,2033644685,2021169904,1991-05-01,20761370
5,17301141,24221598,2318238428,2005138003,1988-08-01,17301141,2338636225,2023447656,1994-01-01,24221598
6,20761369,27681826,2114397627,1991148650,1991-05-01,20761369,1966626818,2044221942,1996-02-15,27681826
7,24221597,31142054,2140407735,2952749366,1994-01-01,24221597,2088883456,1984232989,1998-05-01,31142054
8,27681825,34602282,2070322608,2073232840,1996-02-15,27681825,2221765502,2146256766,2000-03-08,34602282
9,31142053,38062510,2040174826,1676928769,1998-05-01,31142053,204867578,2418696559,2002-01-01,38062510
10,34602281,41522738,2005237558,2304874705,2000-03-08,34602281,1970822072,1889077695,2003-07-01,41522738
11,38062509,44982966,2188398765,2005659208,2002-01-01,38062509,2952063775,2000564595,2005-01-01,44982966
12,41522737,48443194,168888010,2061325773,2003-07-01,41522737,2096388350,2097943353,2006-01-25,48443194
13,44982965,51903422,1553685937,2739616593,2005-01-01,44982965,2046526138,2037267833,2007-02-01,51903422
14,48443193,55363650,2090555293,2059296947,2006-01-25,48443193,1595074334,2040409663,2008-01-02,55363650
15,51903421,58823878,2102293031,2039889251,2007-02-01,51903421,1637846435,2052455040,2009-01-01,58823878
16,55363649,62284106,2005505301,2042868915,2008-01-02,55363649,1569914191,584461677,2009-11-02,62284106
17,58823877,65744334,2775357417,2151615819,2009-01-01,58823877,2052531166,2002503338,2010-08-16,65744334
18,62284105,69204562,2146710988,3018188859,2009-11-02,62284105,2125582164,2036544685,2011-04-11,69204562
19,65744333,72664790,1997952660,2011350479,2010-08-16,65744333,2323470869,2068943011,2011-12-29,72664790
20,69204561,76125018,2028288712,2176257086,2011-04-11,69204561,1779690616,2030555068,2012-07-01,76125018
21,72664789,79585246,2323470869,1982263548,2011-12-29,72664789,2951348319,2951286302,2013-01-29,79585246
22,76125017,83045474,1779690616,1552900953,2012-07-01,76125017,2050886802,1968896659,2013-09-03,83045474
23,79585245,86505702,2078967633,2066885383,2013-01-29,79585245,1975530828,2134947941,2014-03-01,86505702
24,83045473,89965930,1977669014,2154870396,2013-09-03,83045473,2040989415,1607719843,2014-10-01,89965930
25,86505701,93426158,1975530828,2057768542,2014-03-01,86505701,2855167533,2864151820,2015-04-01,93426158
26,89965929,96886386,2040989415,2005608652,2014-10-01,89965929,2461633403,2167426231,2015-11-01,96886386
27,93426157,100346614,1556748344,2096536479,2015-04-01,93426157,2343009781,2313020510,2016-04-28,100346614
28,96886385,103806842,1703642000,2163739196,2015-11-01,96886385,2553376059,2008694811,2016-11-17,103806842
29,100346613,107267070,2340795529,2127456273,2016-04-28,100346613,2616632475,1977372238,2017-05-15,107267070
30,103806841,110727298,2180885705,1964641889,2016-11-17,103806841,2762672776,2154378732,2017-12-01,110727298
31,107267069,114187526,2559909589,2010719365,2017-05-15,107267069,2934999630,2858771097,2018-07-06,114187526
32,110727297,117647754,2756906818,2005142990,2017-12-01,110727297,2941836576,2810652866,2019-02-28,117647754
33,114187525,121107982,2861162775,1596270248,2018-07-06,114187525,2973889316,2169771142,2019-10-08,121107982
34,117647753,124568210,2911493569,2015090357,2019-02-28,117647753,3017153050,2589011706,2020-04-16,124568210
35,121107981,128028438,2966861754,2790054500,2019-10-08,121107981,3086436499,3011212992,2020-10-28,128028438
36,124568209,129091439,3000946239,2320556745,2020-04-16,124568209,3117376025,2811169788,2020-12-31,129091439
