slice_index,start_index,end_index,PaperId_lower,PaperReferenceId_lower,pubDate_lower,rownum_lower,PaperId_upper,PaperReferenceId_upper,pubDate_upper,rownum_upper
0,1,1148863,1997419658,1981937795,1897-03-01,1,2570738097,2034250651,1994-02-01,1148863
1,574432,1723294,2067951995,2010829816,1988-01-24,574432,1254784366,2477429823,1998-01-01,1723294
2,1148863,2297725,2570738097,2034250651,1994-02-01,1148863,2165536754,1974646998,2000-08-01,2297725
3,1723294,2872156,1254784366,2477429823,1998-01-01,1723294,2025281662,2333836031,2002-05-01,2872156
4,2297725,3446587,2165536754,1974646998,2000-08-01,2297725,2025603861,2081416944,2003-11-15,3446587
5,2872156,4021018,2025281662,2333836031,2002-05-01,2872156,2107239451,1588107190,2005-01-01,4021018
6,3446587,4595449,2025603861,2081416944,2003-11-15,3446587,1540190235,2100850991,2006-01-01,4595449
7,4021018,5169880,2107239451,1588107190,2005-01-01,4021018,1562943303,2160860931,2007-01-01,5169880
8,4595449,5744311,1540190235,2100850991,2006-01-01,4595449,2181484290,1979575715,2008-01-01,5744311
9,5169880,6318742,1562943303,2160860931,2007-01-01,5169880,2028275382,2036189587,2008-09-12,6318742
10,5744311,6893173,2181484290,1979575715,2008-01-01,5744311,2092898420,2139738216,2009-05-01,6893173
11,6318742,7467604,2028275382,2036189587,2008-09-12,6318742,1597558642,2154264367,2010-01-01,7467604
12,6893173,8042035,2092898420,2139738216,2009-05-01,6893173,2036969317,2014426346,2010-11-01,8042035
13,7467604,8616466,1597558642,2154264367,2010-01-01,7467604,2145633773,2024699345,2011-05-01,8616466
14,8042035,9190897,2036969317,2014426346,2010-11-01,8042035,2184030384,1522318723,2012-01-01,9190897
15,8616466,9765328,2145633773,2024699345,2011-05-01,8616466,2032404017,2041535038,2012-08-01,9765328
16,9190897,10339759,2184030384,1522318723,2012-01-01,9190897,2237678917,2139123940,2013-01-01,10339759
17,9765328,10914190,2032404017,2041535038,2012-08-01,9765328,2244949502,2030452208,2013-09-01,10914190
18,10339759,11488621,2237678917,2139123940,2013-01-01,10339759,2022765054,185895174,2014-02-01,11488621
19,10914190,12063052,2244949502,2030452208,2013-09-01,10914190,2061697841,2056456945,2014-09-04,12063052
20,11488621,12637483,2022765054,185895174,2014-02-01,11488621,2481945264,1570047587,2015-02-05,12637483
21,12063052,13211914,2061697841,2056456945,2014-09-04,12063052,1602535244,2150751859,2015-10-01,13211914
22,12637483,13786345,2481945264,1570047587,2015-02-05,12637483,2272350201,1568739986,2016-03-14,13786345
23,13211914,14360776,1602535244,2150751859,2015-10-01,13211914,2558601492,1509673614,2016-11-30,14360776
24,13786345,14935207,2272350201,1568739986,2016-03-14,13786345,2621883750,2081492482,2017-06-06,14935207
25,14360776,15509638,2558601492,1509673614,2016-11-30,14360776,2737540829,1583202657,2018-03-01,15509638
26,14935207,16084069,2621883750,2081492482,2017-06-06,14935207,2904643140,2012518785,2019-03-01,16084069
27,15509638,16658500,2737540829,1583202657,2018-03-01,15509638,3007824872,3060669662,2020-02-23,16658500
28,16084069,17232931,2904643140,2012518785,2019-03-01,16084069,3109169399,2132539959,2020-12-02,17232931
29,16658500,17262233,3007824872,3060669662,2020-02-23,16658500,3114864075,2072027331,2020-12-31,17262233
