slice_index,start_index,end_index,PaperId_lower,PaperReferenceId_lower,pubDate_lower,rownum_lower,PaperId_upper,PaperReferenceId_upper,pubDate_upper,rownum_upper
0,1,2293450,2328550648,1490382868,1841-11-01,1,2062606910,1978598852,1987-10-01,2293450
1,1146725,3440174,2015050395,2100365068,1980-01-01,1146725,2094558275,1986018120,1992-04-01,3440174
2,2293449,4586898,2054975725,2161431783,1987-10-01,2293449,2059317221,3016843226,1995-10-01,4586898
3,3440173,5733622,2057757988,2055491565,1992-04-01,3440173,2317269621,1970531070,1998-04-01,5733622
4,4586897,6880346,2077841712,2081802266,1995-10-01,4586897,2093485370,3021722416,2000-07-01,6880346
5,5733621,8027070,2028928234,2078953191,1998-04-01,5733621,2079889944,2161727954,2002-04-30,8027070
6,6880345,9173794,104787074,241008065,2000-07-01,6880345,2064556123,2044758663,2003-12-21,9173794
7,8027069,10320518,1835084804,2182145249,2002-04-30,8027069,1999873691,9763375,2005-02-28,10320518
8,9173793,11467242,2064556123,2100358124,2003-12-21,9173793,2049931818,2012357101,2006-05-01,11467242
9,10320517,12613966,2006376439,2002457178,2005-02-28,10320517,2030265475,2053228601,2007-04-01,12613966
10,11467241,13760690,1970826417,2041523977,2006-05-01,11467241,2139339784,2014855496,2008-02-01,13760690
11,12613965,14907414,1964117141,1969216473,2007-04-01,12613965,2550523818,2513006269,2009-01-01,14907414
12,13760689,16054138,1984314307,2093711514,2008-02-01,13760689,2952353034,330346213,2009-09-20,16054138
13,14907413,17200862,166745461,2128207744,2009-01-01,14907413,2061091622,2149985337,2010-05-16,17200862
14,16054137,18347586,2113899268,2062372984,2009-09-20,16054137,1973810642,31722352,2011-01-01,18347586
15,17200861,19494310,1995587997,2114004090,2010-05-16,17200861,2088986187,2131189029,2011-09-23,19494310
16,18347585,20641034,2313367051,1983688082,2011-01-01,18347585,2048676220,2038581591,2012-04-01,20641034
17,19494309,21787758,2001922678,1974882450,2011-09-23,19494309,1633611286,1513772636,2012-12-01,21787758
18,20641033,22934482,1988330441,2137111431,2012-04-01,20641033,2153396209,2315925303,2013-05-31,22934482
19,21787757,24081206,1980267449,801602877,2012-12-01,21787757,2185803798,2036701053,2014-01-01,24081206
20,22934481,25227930,2060810509,1996492644,2013-05-31,22934481,2033070917,1996567018,2014-06-06,25227930
21,24081205,26374654,2292294658,1997927852,2014-01-01,24081205,2185740477,1789219287,2015-01-01,26374654
22,25227929,27521378,2120254764,2763807351,2014-06-06,25227929,1984381846,2122352547,2015-06-22,27521378
23,26374653,28668102,1975719858,1970870428,2015-01-01,26374653,1528273863,1976549699,2016-01-01,28668102
24,27521377,29814826,2962972351,1498090724,2015-06-22,27521377,2460195894,1989043241,2016-06-25,29814826
25,28668101,30961550,2464352162,2019466342,2016-01-01,28668101,2576504309,2479918603,2017-01-01,30961550
26,29814825,32108274,2462277469,3099205819,2016-06-25,29814825,2741591408,2064895725,2017-07-28,32108274
27,30961549,33254998,2576504309,2095427921,2017-01-01,30961549,2790975322,1589499251,2018-03-01,33254998
28,32108273,34401722,2739985513,2082467128,2017-07-28,32108273,2937475821,1978352585,2019-01-01,34401722
29,33254997,35548446,2792035544,2127774986,2018-03-01,33254997,2922396310,2073520457,2019-08-10,35548446
30,34401721,36695170,2899358613,2067787770,2019-01-01,34401721,3001952337,2058667226,2020-03-16,36695170
31,35548445,37841894,2968235593,2115226868,2019-08-10,35548445,3093011978,2079892024,2020-10-14,37841894
32,36695169,38225958,3010345245,2026680762,2020-03-16,36695169,3118125217,2910689724,2020-12-31,38225958
