slice_index,start_index,end_index,PaperId_lower,PaperReferenceId_lower,pubDate_lower,rownum_lower,PaperId_upper,PaperReferenceId_upper,pubDate_upper,rownum_upper
0,1,4614523,2057066584,567432657,1859-03-01,1,2086637806,2030239267,1990-01-01,4614523
1,2307262,6921784,2002467862,2099365033,1982-03-01,2307262,2509714830,276197365,1995-01-01,6921784
2,4614523,9229045,2086637806,2030239267,1990-01-01,4614523,2032997011,1992076927,1998-11-01,9229045
3,6921784,11536306,2509714830,276197365,1995-01-01,6921784,1999136337,1923174901,2001-09-01,11536306
4,9229045,13843567,2032997011,1992076927,1998-11-01,9229045,2027720583,2064464461,2003-10-01,13843567
5,11536306,16150828,1999136337,1923174901,2001-09-01,11536306,2921749479,2144373764,2005-05-26,16150828
6,13843567,18458089,2027720583,2064464461,2003-10-01,13843567,1983948453,2058083401,2006-12-01,18458089
7,16150828,20765350,2921749479,2144373764,2005-05-26,16150828,1508550656,2042309945,2008-01-01,20765350
8,18458089,23072611,1983948453,2058083401,2006-12-01,18458089,203637575,1997398954,2009-01-01,23072611
9,20765350,25379872,1508550656,2042309945,2008-01-01,20765350,2188880627,2078985779,2010-01-01,25379872
10,23072611,27687133,203637575,1997398954,2009-01-01,23072611,2041502944,2134669259,2010-10-01,27687133
11,25379872,29994394,2188880627,2078985779,2010-01-01,25379872,1974184864,2124480078,2011-06-01,29994394
12,27687133,32301655,2041502944,2134669259,2010-10-01,27687133,1994619915,1999718518,2012-01-16,32301655
13,29994394,34608916,1974184864,2124480078,2011-06-01,29994394,2167738136,2067901581,2012-12-01,34608916
14,32301655,36916177,1994619915,1999718518,2012-01-16,32301655,2025993167,2143384791,2013-06-01,36916177
15,34608916,39223438,2167738136,2067901581,2012-12-01,34608916,2114723835,2925623590,2014-01-01,39223438
16,36916177,41530699,2025993167,2143384791,2013-06-01,36916177,1984644741,2154100681,2014-08-01,41530699
17,39223438,43837960,2114723835,2925623590,2014-01-01,39223438,2120698919,1994766784,2015-01-27,43837960
18,41530699,46145221,1984644741,2154100681,2014-08-01,41530699,893125286,2157901815,2015-10-01,46145221
19,43837960,48452482,2120698919,1994766784,2015-01-27,43837960,2263914674,1989550192,2016-04-01,48452482
20,46145221,50759743,893125286,2157901815,2015-10-01,46145221,2528917159,2115206348,2017-01-01,50759743
21,48452482,53067004,2263914674,1989550192,2016-04-01,48452482,2735365478,1933775912,2017-07-01,53067004
22,50759743,55374265,2528917159,2115206348,2017-01-01,50759743,2581443417,2140034251,2018-03-01,55374265
23,53067004,57681526,2735365478,1933775912,2017-07-01,53067004,2899157179,2106640230,2019-01-01,57681526
24,55374265,59988787,2581443417,2140034251,2018-03-01,55374265,2970827078,1993198491,2019-08-29,59988787
25,57681526,62296048,2899157179,2106640230,2019-01-01,57681526,3012606876,2029093422,2020-04-01,62296048
26,59988787,64603309,2970827078,1993198491,2019-08-29,59988787,3091109619,1839187436,2020-09-29,64603309
27,62296048,65569654,3012606876,2029093422,2020-04-01,62296048,3118031029,1969854015,2020-12-31,65569654
