slice_index,rND,pubDate_lower,pubDate_upper,women_prop
0,0.0760170886785474,1806-07-01,1976-11-17,0.1461167400417079
1,0.088980350377124,1970-01-01,1981-07-01,0.1609423341424609
2,0.0956986021808992,1976-11-17,1985-03-01,0.1734945725536554
3,0.0984934528108072,1981-07-01,1988-08-01,0.184624014195143
4,0.1034798261907606,1985-03-01,1991-05-01,0.1958469919810833
5,0.1093111865158204,1988-08-01,1994-01-01,0.2068928902164755
6,0.1104608986197375,1991-05-01,1996-02-15,0.2185548986607519
7,0.1088292812105489,1994-01-01,1998-05-01,0.2312962221872277
8,0.1094508070505361,1996-02-15,2000-03-08,0.243465866626807
9,0.1101099036981328,1998-05-01,2002-01-01,0.253219385396838
10,0.1126487083646343,2000-03-08,2003-07-01,0.2627391355004078
11,0.1116310861879464,2002-01-01,2005-01-01,0.272697981126579
12,0.1091225060674344,2003-07-01,2006-01-25,0.2822862937327929
13,0.1094104521637195,2005-01-01,2007-02-01,0.2899377482186437
14,0.107803511280156,2006-01-25,2008-01-02,0.294751146861057
15,0.1062480404998166,2007-02-01,2009-01-01,0.3007922200731939
16,0.1074739856364663,2008-01-02,2009-11-02,0.3078584732066542
17,0.1070797458274481,2009-01-01,2010-08-16,0.3150666218604943
18,0.1064225092550664,2009-11-02,2011-04-11,0.3188024687772547
19,0.1078358121967356,2010-08-16,2011-12-29,0.3228483168980933
20,0.1042628001842347,2011-04-11,2012-07-01,0.330895089252635
21,0.1044512027055283,2011-12-29,2013-01-29,0.3366767942676764
22,0.1052810828560948,2012-07-01,2013-09-03,0.3390179552522424
23,0.1061350739121981,2013-01-29,2014-03-01,0.3429963314666552
24,0.1065292473679992,2013-09-03,2014-10-01,0.3465595595090687
25,0.1071629355432735,2014-03-01,2015-04-01,0.349625825090785
26,0.1072916496787596,2014-10-01,2015-11-01,0.3533233633227441
27,0.1057613390851193,2015-04-01,2016-04-28,0.3568251699371301
28,0.1063493646737186,2015-11-01,2016-11-17,0.3603434065613348
29,0.1059944372416523,2016-04-28,2017-05-15,0.3644153814025195
30,0.1055077031083335,2016-11-17,2017-12-01,0.3679202261416522
31,0.0958095153979458,2017-05-15,2018-07-06,0.3733938700271924
32,0.084240969604223,2017-12-01,2019-02-28,0.379257488284039
33,0.0818926138445629,2018-07-06,2019-10-08,0.3820832143876677
34,0.0796635338862098,2019-02-28,2020-04-16,0.383696298317961
35,0.0789742210092154,2019-10-08,2020-10-28,0.384657038215817
36,0.0873028591635713,2020-04-16,2020-12-31,0.3877168497889653
