slice_index,rND,pubDate_lower,pubDate_upper,women_prop
0,0.1059400969155646,1897-03-01,1994-02-01,0.1333077770856294
1,0.1060401605100662,1988-01-24,1998-01-01,0.1606496389783387
2,0.1020870531448096,1994-02-01,2000-08-01,0.1783516119470646
3,0.1051040776493299,1998-01-01,2002-05-01,0.1914802610734427
4,0.1079575971834548,2000-08-01,2003-11-15,0.2017908586023581
5,0.1100198137070324,2002-05-01,2005-01-01,0.2112130650728176
6,0.1115937741007462,2003-11-15,2006-01-01,0.2176275992438563
7,0.1125578998310506,2005-01-01,2007-01-01,0.2226688501811324
8,0.1143256406408853,2006-01-01,2008-01-01,0.228408768780119
9,0.1153506975338283,2007-01-01,2008-09-12,0.2325910335619073
10,0.120625287106724,2008-01-01,2009-05-01,0.2372193905216354
11,0.1210467558067872,2008-09-12,2010-01-01,0.2404778987428642
12,0.1197503162073154,2009-05-01,2010-11-01,0.2430749605151257
13,0.1215992699713355,2010-01-01,2011-05-01,0.2463464938126104
14,0.1209306453779777,2010-11-01,2012-01-01,0.2491854031895884
15,0.118848723429527,2011-05-01,2012-08-01,0.251708788855158
16,0.119775307781805,2012-01-01,2013-01-01,0.2547727148405448
17,0.1183957247672473,2012-08-01,2013-09-01,0.2564979788067307
18,0.1177440174090967,2013-01-01,2014-02-01,0.258858319691609
19,0.1153997997310664,2013-09-01,2014-09-04,0.2602227264067615
20,0.1158570589441779,2014-02-01,2015-02-05,0.2621301066251348
21,0.1154236768885436,2014-09-04,2015-10-01,0.2648008611410118
22,0.1136720547723222,2015-02-05,2016-03-14,0.2644472933294735
23,0.1132212139707817,2015-10-01,2016-11-30,0.2657827871522574
24,0.1122449114160631,2016-03-14,2017-06-06,0.2691860039230688
25,0.1103414715255289,2016-11-30,2018-03-01,0.2692310838780402
26,0.1131798938280747,2017-06-06,2019-03-01,0.2677290432695963
27,0.1131517624643829,2018-03-01,2020-02-23,0.2646191359850828
28,0.1106976628830237,2019-03-01,2020-12-02,0.2632629458289807
29,0.1144325339468932,2020-02-23,2020-12-31,0.2599159895331221
