slice_index,rND,pubDate_lower,pubDate_upper,women_prop
0,0.0918690868097924,1841-11-01,1987-10-01,0.0934100167745027
1,0.0997367562897712,1980-01-01,1992-04-01,0.1096097732253338
2,0.0987025279661909,1987-10-01,1995-10-01,0.1216581230283911
3,0.0974873108902053,1992-04-01,1998-04-01,0.1315287191537371
4,0.0960075380958053,1995-10-01,2000-07-01,0.1395856548336479
5,0.0957989623268753,1998-04-01,2002-04-30,0.1465339998762265
6,0.0966554369140862,2000-07-01,2003-12-21,0.1533121111821329
7,0.0989985190643642,2002-04-30,2005-02-28,0.1600974876809408
8,0.0989230356561973,2003-12-21,2006-05-01,0.1648471309336042
9,0.1014040800277869,2005-02-28,2007-04-01,0.1699953975746288
10,0.1020453200839781,2006-05-01,2008-02-01,0.175055222873855
11,0.1016074271511505,2007-04-01,2009-01-01,0.1791172490647138
12,0.1040271670706113,2008-02-01,2009-09-20,0.1828253238106766
13,0.105936628098975,2009-01-01,2010-05-16,0.186262103482106
14,0.1063193042212805,2009-09-20,2011-01-01,0.1900890117902788
15,0.1073305252505851,2010-05-16,2011-09-23,0.1913856466380929
16,0.1052205587680871,2011-01-01,2012-04-01,0.1930485521137236
17,0.1057526945125484,2011-09-23,2012-12-01,0.1964553841880972
18,0.1081305521498344,2012-04-01,2013-05-31,0.1979793130350169
19,0.1089855943772905,2012-12-01,2014-01-01,0.2002826723539667
20,0.1089085697513348,2013-05-31,2014-06-06,0.202805701613341
21,0.1092468461828758,2014-01-01,2015-01-01,0.2044750600887082
22,0.1092357814495495,2014-06-06,2015-06-22,0.2058574530998859
23,0.1114457523047707,2015-01-01,2016-01-01,0.2079308943089431
24,0.1122187664870289,2015-06-22,2016-06-25,0.2091984156615749
25,0.1111051189081728,2016-01-01,2017-01-01,0.2106594465085031
26,0.1089338682004125,2016-06-25,2017-07-28,0.2123233478996506
27,0.1066038565787162,2017-01-01,2018-03-01,0.2134616098037518
28,0.106203921830794,2017-07-28,2019-01-01,0.213894427626607
29,0.1030297096146143,2018-03-01,2019-08-10,0.2133464083004952
30,0.1001615181777558,2019-01-01,2020-03-16,0.2125951764750009
31,0.0998521556705995,2019-08-10,2020-10-14,0.2124722074155177
32,0.1001847489712269,2020-03-16,2020-12-31,0.210552619904649
