slice_index,rND,pubDate_lower,pubDate_upper,women_prop
0,0.1770757469254295,1859-03-01,1990-01-01,0.315228115283425
1,0.1402261551355925,1982-03-01,1995-01-01,0.3601098565029413
2,0.1271117457324369,1990-01-01,1998-11-01,0.3930131223330375
3,0.1214949285511152,1995-01-01,2001-09-01,0.4158372923674446
4,0.1266445283435925,1998-11-01,2003-10-01,0.4332331873248578
5,0.1300430308190657,2001-09-01,2005-05-26,0.4473679579014062
6,0.1316952675300697,2003-10-01,2006-12-01,0.459355711067845
7,0.1332684387513989,2005-05-26,2008-01-01,0.4689478010063114
8,0.1328418919015729,2006-12-01,2009-01-01,0.4767368931208484
9,0.1316747092794059,2008-01-01,2010-01-01,0.4821175401311081
10,0.1276226813607791,2009-01-01,2010-10-01,0.4879218995546127
11,0.1247465615036245,2010-01-01,2011-06-01,0.4927825086076744
12,0.1195850593471073,2010-10-01,2012-01-16,0.4960644448650889
13,0.1229584386390638,2011-06-01,2012-12-01,0.5007989795489269
14,0.1220927345217589,2012-01-16,2013-06-01,0.5048098009494613
15,0.11914227367575,2012-12-01,2014-01-01,0.5080413517702796
16,0.1197363082799429,2013-06-01,2014-08-01,0.5101363463639896
17,0.1175588245265381,2014-01-01,2015-01-27,0.512439476558544
18,0.1152553133051286,2014-08-01,2015-10-01,0.514757492517732
19,0.1136901405515097,2015-01-27,2016-04-01,0.5165788832826491
20,0.1126727116331633,2015-10-01,2017-01-01,0.5185599323985733
21,0.1106060147716739,2016-04-01,2017-07-01,0.5213771801689479
22,0.1020259103021702,2017-01-01,2018-03-01,0.5234899328859061
23,0.0861598083163297,2017-07-01,2019-01-01,0.5258880612262434
24,0.0770975962027054,2018-03-01,2019-08-29,0.5294246918478239
25,0.0731917278125743,2019-01-01,2020-04-01,0.5296379346893847
26,0.0708071878501691,2019-08-29,2020-09-29,0.5306696369708408
27,0.0736296299479429,2020-04-01,2020-12-31,0.5341566403191126
